method_key,method,criterion,all_five_success_cells,all_five_success_rate,any_seed_success_cells,any_seed_success_rate,all_five_failure_cells,variable_cells
mixed,RL + supervised winner,Near reference,2493,0.9968012794882047,2501,1.0,0,8
mixed,RL + supervised winner,Task success,2332,0.9324270291883247,2360,0.9436225509796081,141,28
supervised,Supervised actor,Near reference,2478,0.9908036785285885,2499,0.9992003198720512,2,21
supervised,Supervised actor,Task success,2318,0.926829268292683,2356,0.9420231907237105,145,38
pure,Pure-RL winner,Near reference,2255,0.9016393442622951,2462,0.984406237504998,39,207
pure,Pure-RL winner,Task success,2251,0.9000399840063974,2348,0.9388244702119153,153,97
simba,Plain SimbaV2 100k,Near reference,2099,0.8392642942822871,2420,0.9676129548180727,81,321
simba,Plain SimbaV2 100k,Task success,2210,0.8836465413834467,2356,0.9420231907237105,145,146
dagger,Clean DAgger 100k,Near reference,1868,0.7469012395041983,2298,0.9188324670131948,203,430
dagger,Clean DAgger 100k,Task success,2066,0.8260695721711315,2302,0.9204318272690923,199,236
