step,split,name,value
0,eval,best_return,-878.607544249291
0,eval,collapse_rate,0.9
0,eval,failure_rate,1.0
0,eval,fraction_return_ge_-100,0.0
0,eval,fraction_return_ge_-150,0.0
0,eval,fraction_return_ge_-200,0.0
0,eval,fraction_return_ge_-250,0.0
0,eval,max_not_near_upright_streak,200.0
0,eval,mean_episode_length,200.0
0,eval,mean_min_step_reward,-11.763075652899321
0,eval,mean_return,-1567.062612708937
0,eval,median_return,-1633.5461355473726
0,eval,near_upright_fraction,0.0085
0,eval,num_collapses,9.0
0,eval,num_eval_episodes,10.0
0,eval,num_strict_successes,0.0
0,eval,num_successes,0.0
0,eval,return_failure_rate,1.0
0,eval,return_p05,-1897.8045480056373
0,eval,return_p10,-1889.345531250575
0,eval,return_p25,-1863.98032835229
0,eval,return_p75,-1366.434419362965
0,eval,return_p90,-1186.4488885139094
0,eval,return_p95,-1032.5282163816005
0,eval,return_reliability_nines_empirical,0.0
0,eval,return_reliability_nines_wilson95_low,0.0
0,eval,return_success_rate,0.0
0,eval,stability_success_rate,0.0
0,eval,std_return,322.79107241168066
0,eval,streak_success_rate,0.0
0,eval,strict_failure_rate,1.0
0,eval,strict_reliability_nines_empirical,0.0
0,eval,strict_reliability_nines_wilson95_low,0.0
0,eval,strict_success_rate,0.0
0,eval,strict_success_rate_wilson95_high,0.2775327998628892
0,eval,strict_success_rate_wilson95_low,0.0
0,eval,success_rate,0.0
0,eval,success_rate_wilson95_high,0.2775327998628892
0,eval,success_rate_wilson95_low,0.0
0,eval,worst_episode_near_upright_fraction,0.0
0,eval,worst_min_step_reward,-16.21671580786755
0,eval,worst_return,-1906.2635647606996
200,train_episode,collapse,1.0
200,train_episode,length,200.0
200,train_episode,return,-1071.9307048996711
200,train_episode,success,0.0
400,train_episode,collapse,1.0
400,train_episode,length,200.0
400,train_episode,return,-1508.1563816791627
400,train_episode,success,0.0
600,train_episode,collapse,1.0
600,train_episode,length,200.0
600,train_episode,return,-1264.817177206974
600,train_episode,success,0.0
800,train_episode,collapse,0.0
800,train_episode,length,200.0
800,train_episode,return,-975.6967559825594
800,train_episode,success,0.0
1000,train_episode,collapse,0.0
1000,train_episode,length,200.0
1000,train_episode,return,-972.1087893349505
1000,train_episode,success,0.0
1200,train_episode,collapse,1.0
1200,train_episode,length,200.0
1200,train_episode,return,-1525.5428927330931
1200,train_episode,success,0.0
1400,train_episode,collapse,1.0
1400,train_episode,length,200.0
1400,train_episode,return,-1512.64270396323
1400,train_episode,success,0.0
